 築年数    家賃   管理費      面積                                                        URL
築16年 6.8万円 5000円 20.07m2 https://suumo.jp/chintai/jnc_000096134644/?bc=100419884116
築23年   7万円 4500円  26.5m2 https://suumo.jp/chintai/jnc_000097330184/?bc=100427914841
築23年   7万円 4500円  26.5m2 https://suumo.jp/chintai/jnc_000097338261/?bc=100427986968
築21年 6.2万円 3500円    20m2 https://suumo.jp/chintai/jnc_000027617651/?bc=100426972070
築25年   7万円 2500円 29.19m2 https://suumo.jp/chintai/jnc_000061155069/?bc=100426876978
築22年 6.3万円 5500円    21m2 https://suumo.jp/chintai/jnc_000096784954/?bc=100424130133
築24年 5.6万円 1000円 20.46m2 https://suumo.jp/chintai/jnc_000045491349/?bc=100423864689
築24年 6.9万円 3000円 23.88m2 https://suumo.jp/chintai/jnc_000096759837/?bc=100423946063
築25年 6.8万円 5500円 20.28m2 https://suumo.jp/chintai/jnc_000094124109/?bc=100406523804
築18年 6.5万円 4000円 23.77m2 https://suumo.jp/chintai/jnc_000096203497/?bc=100420324530
築23年 6.9万円 3000円 22.17m2 https://suumo.jp/chintai/jnc_000095278889/?bc=100414352703
築25年 6.8万円 5500円 20.28m2 https://suumo.jp/chintai/jnc_000094113118/?bc=100285744240
築25年 7.2万円 3000円 26.08m2 https://suumo.jp/chintai/jnc_000039132302/?bc=100407997026
築16年 6.8万円 5000円 20.07m2 https://suumo.jp/chintai/jnc_000096134644/?bc=100419884116
築23年   7万円 4500円  26.5m2 https://suumo.jp/chintai/jnc_000097330184/?bc=100427914841
築23年   7万円 4500円  26.5m2 https://suumo.jp/chintai/jnc_000097338261/?bc=100427986968
築21年 6.2万円 3500円    20m2 https://suumo.jp/chintai/jnc_000027617651/?bc=100426972070
築25年   7万円 2500円 29.19m2 https://suumo.jp/chintai/jnc_000061155069/?bc=100426876978
築22年 6.3万円 5500円    21m2 https://suumo.jp/chintai/jnc_000096784954/?bc=100424130133
築24年 6.9万円 3000円 23.88m2 https://suumo.jp/chintai/jnc_000096759837/?bc=100423946063
築24年 5.6万円 1000円 20.46m2 https://suumo.jp/chintai/jnc_000045491349/?bc=100423864689
築25年 6.8万円 5500円 20.28m2 https://suumo.jp/chintai/jnc_000094124109/?bc=100406523804
築18年 6.5万円 4000円 23.77m2 https://suumo.jp/chintai/jnc_000096203497/?bc=100420324530
築23年 6.9万円 3000円 22.17m2 https://suumo.jp/chintai/jnc_000095278889/?bc=100414352703
築25年 6.8万円 5500円 20.28m2 https://suumo.jp/chintai/jnc_000094113118/?bc=100285744240
築25年 7.2万円 3000円 26.08m2 https://suumo.jp/chintai/jnc_000039132302/?bc=100407997026
築16年 6.8万円 5000円 20.07m2 https://suumo.jp/chintai/jnc_000096134644/?bc=100419884116
築23年   7万円 4500円  26.5m2 https://suumo.jp/chintai/jnc_000097330184/?bc=100427914841
築23年   7万円 4500円  26.5m2 https://suumo.jp/chintai/jnc_000097338261/?bc=100427986968
築21年 6.2万円 3500円    20m2 https://suumo.jp/chintai/jnc_000027617651/?bc=100426972070
築25年   7万円 2500円 29.19m2 https://suumo.jp/chintai/jnc_000061155069/?bc=100426876978
築22年 6.3万円 5500円    21m2 https://suumo.jp/chintai/jnc_000096784954/?bc=100424130133
築24年 5.6万円 1000円 20.46m2 https://suumo.jp/chintai/jnc_000045491349/?bc=100423864689
築24年 6.9万円 3000円 23.88m2 https://suumo.jp/chintai/jnc_000096759837/?bc=100423946063
築25年 6.8万円 5500円 20.28m2 https://suumo.jp/chintai/jnc_000094124109/?bc=100406523804
築18年 6.5万円 4000円 23.77m2 https://suumo.jp/chintai/jnc_000096203497/?bc=100420324530
築23年 6.9万円 3000円 22.17m2 https://suumo.jp/chintai/jnc_000095278889/?bc=100414352703
築25年 6.8万円 5500円 20.28m2 https://suumo.jp/chintai/jnc_000094113118/?bc=100285744240
築25年 7.2万円 3000円 26.08m2 https://suumo.jp/chintai/jnc_000039132302/?bc=100407997026
築16年 6.8万円 5000円 20.07m2 https://suumo.jp/chintai/jnc_000096134644/?bc=100419884116
築23年   7万円 4500円  26.5m2 https://suumo.jp/chintai/jnc_000097330184/?bc=100427914841
築23年   7万円 4500円  26.5m2 https://suumo.jp/chintai/jnc_000097338261/?bc=100427986968
築21年 6.2万円 3500円    20m2 https://suumo.jp/chintai/jnc_000027617651/?bc=100426972070
築25年   7万円 2500円 29.19m2 https://suumo.jp/chintai/jnc_000061155069/?bc=100426876978
築22年 6.3万円 5500円    21m2 https://suumo.jp/chintai/jnc_000096784954/?bc=100424130133
築24年 6.9万円 3000円 23.88m2 https://suumo.jp/chintai/jnc_000096759837/?bc=100423946063
築24年 5.6万円 1000円 20.46m2 https://suumo.jp/chintai/jnc_000045491349/?bc=100423864689
築25年 6.8万円 5500円 20.28m2 https://suumo.jp/chintai/jnc_000094124109/?bc=100406523804
築18年 6.5万円 4000円 23.77m2 https://suumo.jp/chintai/jnc_000096203497/?bc=100420324530
築23年 6.9万円 3000円 22.17m2 https://suumo.jp/chintai/jnc_000095278889/?bc=100414352703
築25年 6.8万円 5500円 20.28m2 https://suumo.jp/chintai/jnc_000094113118/?bc=100285744240
築25年 7.2万円 3000円 26.08m2 https://suumo.jp/chintai/jnc_000039132302/?bc=100407997026
築16年 6.8万円 5000円 20.07m2 https://suumo.jp/chintai/jnc_000096134644/?bc=100419884116
築23年   7万円 4500円  26.5m2 https://suumo.jp/chintai/jnc_000097330184/?bc=100427914841
築23年   7万円 4500円  26.5m2 https://suumo.jp/chintai/jnc_000097338261/?bc=100427986968
築21年 6.2万円 3500円    20m2 https://suumo.jp/chintai/jnc_000027617651/?bc=100426972070
築25年   7万円 2500円 29.19m2 https://suumo.jp/chintai/jnc_000061155069/?bc=100426876978
築22年 6.3万円 5500円    21m2 https://suumo.jp/chintai/jnc_000096784954/?bc=100424130133
築24年 6.9万円 3000円 23.88m2 https://suumo.jp/chintai/jnc_000096759837/?bc=100423946063
築24年 5.6万円 1000円 20.46m2 https://suumo.jp/chintai/jnc_000045491349/?bc=100423864689
築25年 6.8万円 5500円 20.28m2 https://suumo.jp/chintai/jnc_000094124109/?bc=100406523804
築18年 6.5万円 4000円 23.77m2 https://suumo.jp/chintai/jnc_000096203497/?bc=100420324530
築23年 6.9万円 3000円 22.17m2 https://suumo.jp/chintai/jnc_000095278889/?bc=100414352703
築25年 6.8万円 5500円 20.28m2 https://suumo.jp/chintai/jnc_000094113118/?bc=100285744240
築25年 7.2万円 3000円 26.08m2 https://suumo.jp/chintai/jnc_000039132302/?bc=100407997026
